code,level,name,parent
592,3,Hoạt động ghi âm và xuất bản âm nhạc,59
601,3,Hoạt động phát thanh,60
602,3,Hoạt động truyền hình và cung cấp chương trình thuê bao,60
611,3,Hoạt động viễn thông có dây,61
612,3,Hoạt động viễn thông không dây,61
613,3,Hoạt động viễn thông vệ tinh,61
619,3,Hoạt động viễn thông khác,61
620,3,"Lập trình máy vi tính, dịch vụ tư vấn và các hoạt động khác liên quan đến máy vi tính",62
631,3,"Xử lý dữ liệu, cho thuê và các hoạt động liên quan; cổng thông tin",63
639,3,Dịch vụ thông tin khác,63
641,3,Hoạt động trung gian tiền tệ,64
642,3,Hoạt động công ty nắm giữ tài sản,64
643,3,"Hoạt động quỹ tín thác, các quỹ và các tổ chức tài chính khác",64
649,3,Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội),64
651,3,Bảo hiểm,65
652,3,Tái bảo hiểm,65
653,3,Bảo hiểm xã hội,65
661,3,Hoạt động hỗ trợ dịch vụ tài chính (trừ bảo hiểm và bảo hiểm xã hội),66
662,3,Hoạt động hỗ trợ bảo hiểm và bảo hiểm xã hội,66
663,3,Hoạt động quản lý quỹ,66
681,3,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",68
682,3,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",68
691,3,Hoạt động pháp luật,69
692,3,"Hoạt động liên quan đến kế toán, kiểm toán và tư vấn về thuế",69
701,3,Hoạt động của trụ sở văn phòng,70
702,3,Hoạt động tư vấn quản lý,70
711,3,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,71
712,3,Kiểm tra và phân tích kỹ thuật,71
721,3,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học tự nhiên và kỹ thuật,72
722,3,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học xã hội và nhân văn,72
731,3,Quảng cáo,73
732,3,Nghiên cứu thị trường và thăm dò dư luận,73
741,3,Hoạt động thiết kế chuyên dụng,74
742,3,Hoạt động nhiếp ảnh,74
749,3,"Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu",74
750,3,Hoạt động thú y,75
771,3,Cho thuê xe có động cơ,77
772,3,Cho thuê đồ dùng cá nhân và gia đình,77
773,3,"Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển",77
774,3,Cho thuê tài sản vô hình phi tài chính,77
781,3,"Hoạt động của các trung tâm, đại lý tư vấn, giới thiệu và môi giới lao động, việc làm",78
782,3,Cung ứng lao động tạm thời,78
783,3,Cung ứng và quản lý nguồn lao động,78
791,3,"Hoạt động của các đại lý du lịch, kinh doanh tua du lịch",79
799,3,Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch,79
801,3,Hoạt động bảo vệ tư nhân,80
802,3,Dịch vụ hệ thống bảo đảm an toàn,80
803,3,Dịch vụ điều tra,80
811,3,Dịch vụ hỗ trợ tổng hợp,81
812,3,Dịch vụ vệ sinh,81
813,3,Dịch vụ chăm sóc và duy trì cảnh quan,81
821,3,Hoạt động hành chính và hỗ trợ văn phòng,82
822,3,Hoạt động dịch vụ liên quan đến các cuộc gọi,82
823,3,Tổ chức giới thiệu và xúc tiến thương mại,82
829,3,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu,82
841,3,"Hoạt động của Đảng cộng sản, tổ chức chính trị - xã hội, quản lý nhà nước và quản lý chính sách kinh tế, xã hội",84
842,3,Hoạt động phục vụ chung cho toàn đất nước,84
843,3,Hoạt động bảo đảm xã hội bắt buộc,84
851,3,Giáo dục mầm non,85
852,3,Giáo dục phổ thông,85
853,3,Giáo dục nghề nghiệp,85
854,3,Giáo dục đại học,85
855,3,Giáo dục khác,85
856,3,Dịch vụ hỗ trợ giáo dục,85
861,3,"Hoạt động của các bệnh viện, trạm y tế",86
862,3,"Hoạt động của các phòng khám đa khoa, chuyên khoa và nha khoa",86
869,3,Hoạt động y tế khác,86
871,3,"Hoạt động của các cơ sở nuôi dưỡng, điều dưỡng",87
872,3,"Hoạt động chăm sóc sức khoẻ người bị thiểu năng, tâm thần và người nghiện",87
873,3,"Hoạt động chăm sóc sức khoẻ người có công, người già và người khuyết tật không có khả năng tự chăm sóc",87
879,3,Hoạt động chăm sóc tập trung khác,87
881,3,"Hoạt động trợ giúp xã hội không tập trung đối với người có công, thương bệnh binh, người già và người khuyết tật",88
889,3,Hoạt động trợ giúp xã hội không tập trung khác,88
900,3,"Hoạt động sáng tác, nghệ thuật và giải trí",90
910,3,"Hoạt động của thư viện, lưu trữ, bảo tàng và các hoạt động văn hóa khác",91
920,3,"Hoạt động xổ số, cá cược và đánh bạc",92
931,3,Hoạt động thể thao,93
932,3,Hoạt động vui chơi giải trí khác,93
941,3,"Hoạt động của các hiệp hội kinh doanh, nghiệp chủ và nghề nghiệp",94
942,3,Hoạt động của công đoàn,94
949,3,Hoạt động của các tổ chức khác,94
951,3,Sửa chữa máy vi tính và thiết bị liên lạc,95
952,3,Sửa chữa đồ dùng cá nhân và gia đình,95
961,3,"Dịch vụ tắm hơi, massage và các dịch vụ tăng cường sức khoẻ tương tự (trừ hoạt động thể thao)",96
962,3,"Giặt là, làm sạch các sản phẩm dệt và lông thú",96
963,3,Hoạt động dịch vụ phục vụ cá nhân khác chưa được phân vào đâu,96
970,3,Hoạt động làm thuê công việc gia đình trong các hộ gia đình,97
981,3,Hoạt động sản xuất các sản phẩm vật chất tự tiêu dùng của hộ gia đình,98
982,3,Hoạt động sản xuất các sản phẩm dịch vụ tự tiêu dùng của hộ gia đình,98
990,3,Hoạt động của các tổ chức và cơ quan quốc tế,99
0111,4,Trồng lúa,011
0112,4,Trồng ngô và cây lương thực có hạt khác,011
0113,4,Trồng cây lấy củ có chất bột,011
0114,4,Trồng cây mía,011
0115,4,"Trồng cây thuốc lá, thuốc lào",011
0116,4,Trồng cây lấy sợi,011
0117,4,Trồng cây có hạt chứa dầu,011
0118,4,"Trồng rau, đậu các loại và trồng hoa",011
0119,4,Trồng cây hàng năm khác,011
0121,4,Trồng cây ăn quả,012
0122,4,Trồng cây lấy quả chứa dầu,012
0123,4,Trồng cây điều,012
0124,4,Trồng cây hồ tiêu,012
0125,4,Trồng cây cao su,012
0126,4,Trồng cây cà phê,012
0127,4,Trồng cây chè,012
0128,4,"Trồng cây gia vị, cây dược liệu, cây hương liệu lâu năm",012
0129,4,Trồng cây lâu năm khác,012
0131,4,Nhân và chăm sóc cây giống hàng năm,013
0132,4,Nhân và chăm sóc cây giống lâu năm,013
0141,4,"Chăn nuôi trâu, bò và sản xuất giống trâu, bò",014
0142,4,"Chăn nuôi ngựa, lừa, la và sản xuất giống ngựa, lừa",014
0144,4,"Chăn nuôi dê, cừu và sản xuất giống dê, cừu, hươu, nai",014
0145,4,Chăn nuôi lợn và sản xuất giống lợn,014
0146,4,Chăn nuôi gia cầm,014
0149,4,Chăn nuôi khác,014
0150,4,"Trồng trọt, chăn nuôi hỗn hợp",015
0161,4,Hoạt động dịch vụ trồng trọt,016
0162,4,Hoạt động dịch vụ chăn nuôi,016
0163,4,Hoạt động dịch vụ sau thu hoạch,016
0164,4,Xử lý hạt giống để nhân giống,016
0170,4,"Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan",017
0210,4,"Trồng rừng, chăm sóc rừng và ươm giống cây lâm nghiệp",021
0220,4,Khai thác gỗ,022
0231,4,Khai thác lâm sản khác trừ gỗ,023
0232,4,Thu nhặt lâm sản khác trừ gỗ,023
0240,4,Hoạt động dịch vụ lâm nghiệp,024
0311,4,Khai thác thủy sản biển,031
0312,4,Khai thác thủy sản nội địa,031
0321,4,Nuôi trồng thủy sản biển,032
0322,4,Nuôi trồng thủy sản nội địa,032
0510,4,Khai thác và thu gom than cứng,051
0520,4,Khai thác và thu gom than non,052
0610,4,Khai thác dầu thô,061
0620,4,Khai thác khí đốt tự nhiên,062
0710,4,Khai thác quặng sắt,071
0721,4,Khai thác quặng uranium và quặng thorium,072
0722,4,Khai thác quặng kim loại khác không chứa sắt,072
0730,4,Khai thác quặng kim loại quý hiếm,073
0810,4,"Khai thác đá, cát, sỏi, đất sét",081
0891,4,Khai thác khoáng hoá chất và khoáng phân bón,089
0892,4,Khai thác và thu gom than bùn,089
0893,4,Khai thác muối,089
0899,4,Khai khoáng khác chưa được phân vào đâu,089
0910,4,Hoạt động dịch vụ hỗ trợ khai thác dầu thô và khí tự nhiên,091
0990,4,Hoạt động dịch vụ hỗ trợ khai khoáng khác,099
1010,4,"Chế biến, bảo quản thịt và các sản phẩm từ thịt",101
1020,4,"Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản",102
1030,4,Chế biến và bảo quản rau quả,103
1040,4,"Sản xuất dầu, mỡ động, thực vật",104
1050,4,Chế biến sữa và các sản phẩm từ sữa,105
1061,4,Xay xát và sản xuất bột thô,106
1062,4,Sản xuất tinh bột và các sản phẩm từ tinh bột,106
1071,4,Sản xuất các loại bánh từ bột,107
1072,4,Sản xuất đường,107
1073,4,"Sản xuất ca cao, sôcôla và bánh kẹo",107
1074,4,"Sản xuất mì ống, mỳ sợi và sản phẩm tương tự",107
1075,4,"Sản xuất món ăn, thức ăn chế biến sẵn",107
1076,4,Sản xuất chè,107
1077,4,Sản xuất cà phê,107
1079,4,Sản xuất thực phẩm khác chưa được phân vào đâu,107
1080,4,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản",108
1101,4,"Chưng, tinh cất và pha chế các loại rượu mạnh",110
1102,4,Sản xuất rượu vang,110
1103,4,Sản xuất bia và mạch nha ủ men bia,110
1104,4,"Sản xuất đồ uống không cồn, nước khoáng",110
1200,4,Sản xuất sản phẩm thuốc lá,120
1311,4,Sản xuất sợi,131
1312,4,Sản xuất vải dệt thoi,131
1313,4,Hoàn thiện sản phẩm dệt,131
1391,4,"Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",139
1392,4,Sản xuất hàng dệt sẵn (trừ trang phục),139
1393,4,"Sản xuất thảm, chăn, đệm",139
1394,4,Sản xuất các loại dây bện và lưới,139
1399,4,Sản xuất các loại hàng dệt khác chưa được phân vào đâu,139
1410,4,May trang phục (trừ trang phục từ da lông thú),141
1420,4,Sản xuất sản phẩm từ da lông thú,142
1430,4,"Sản xuất trang phục dệt kim, đan móc",143
1511,4,"Thuộc, sơ chế da; sơ chế và nhuộm da lông thú",151
